timestamp,game,latency,map,killer,victim,points
2024-05-23 12:55:14,12,50,wrackdm17,<world>,Player_172.19.116.18,0
2024-05-23 12:55:20,12,50,wrackdm17,Player_172.19.137.208,Player_172.19.119.51,4
2024-05-23 12:55:25,12,50,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:55:27,12,50,wrackdm17,Player_172.19.137.208,Player_172.19.114.48,5
2024-05-23 12:55:30,12,50,wrackdm17,<world>,Player_172.19.137.208,4
2024-05-23 12:55:31,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.117.18,0
2024-05-23 12:55:34,12,50,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:55:39,12,50,wrackdm17,Player_172.19.119.51,Player_172.19.137.208,6
2024-05-23 12:55:44,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.119.51,11
2024-05-23 12:55:45,12,50,wrackdm17,Player_172.19.137.208,Player_172.19.116.18,5
2024-05-23 12:55:53,12,50,wrackdm17,Player_172.19.119.51,Player_172.19.120.104,7
2024-05-23 12:55:54,12,50,wrackdm17,<world>,Player_172.19.116.18,0
2024-05-23 12:55:58,12,50,wrackdm17,Player_172.19.119.51,Player_172.19.117.18,8
2024-05-23 12:55:59,12,50,wrackdm17,Player_172.19.137.208,Player_172.19.119.51,6
2024-05-23 12:56:02,12,50,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:56:16,12,50,wrackdm17,Player_172.19.137.208,Player_172.19.117.18,7
2024-05-23 12:56:16,12,50,wrackdm17,Player_172.19.119.51,Player_172.19.120.104,9
2024-05-23 12:56:18,12,50,wrackdm17,<world>,Player_172.19.116.18,0
2024-05-23 12:56:28,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.119.51,12
2024-05-23 12:56:45,13,50,aggressor,Player_172.19.119.51,Player_172.19.116.18,1
2024-05-23 12:56:46,13,50,aggressor,Player_172.19.116.18,Player_172.19.137.208,1
2024-05-23 12:56:50,13,50,aggressor,Player_172.19.137.208,Player_172.19.119.51,1
2024-05-23 12:56:50,13,50,aggressor,Player_172.19.120.104,Player_172.19.116.18,1
2024-05-23 12:56:54,13,50,aggressor,Player_172.19.119.51,Player_172.19.137.208,2
2024-05-23 12:56:57,13,50,aggressor,Player_172.19.119.51,Player_172.19.114.48,3
2024-05-23 12:56:57,13,50,aggressor,Player_172.19.119.51,Player_172.19.119.51,3
2024-05-23 12:57:02,13,50,aggressor,Player_172.19.114.48,Player_172.19.120.104,1
2024-05-23 12:57:07,13,50,aggressor,Player_172.19.119.51,Player_172.19.116.18,3
2024-05-23 12:57:10,13,50,aggressor,Player_172.19.117.18,Player_172.19.120.104,1
2024-05-23 12:57:11,13,50,aggressor,Player_172.19.137.208,Player_172.19.116.18,2
